date,state,contact_method,age_group,gender,scam_category,scam_type,amount_lost,reports,year,month,month_name,source
2020-01-01,Victoria,Text message,Under 18,Male,Attempts to gain your personal information,Phishing,58.0,2,2020,1,January,Scamwatch
2020-02-01,Tasmania,Text message,25 - 34,Male,Attempts to gain your personal information,Phishing,68.0,2,2020,2,February,Scamwatch
2020-08-01,Outside of Australia,Text message,Unspecified,Male,Attempts to gain your personal information,Phishing,100.0,2,2020,8,August,Scamwatch
2020-06-01,Tasmania,Phone call,55 - 64,Male,Attempts to gain your personal information,Phishing,5000.0,2,2020,6,June,Scamwatch
2020-08-01,Western Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,100.0,3,2020,8,August,Scamwatch
2020-06-01,Outside of Australia,Email,35 - 44,Male,Attempts to gain your personal information,Phishing,1150.0,4,2020,6,June,Scamwatch
2020-07-01,Outside of Australia,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,400.0,2,2020,7,July,Scamwatch
2020-01-01,Outside of Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,6000.0,5,2020,1,January,Scamwatch
2020-05-01,Outside of Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,5.0,3,2020,5,May,Scamwatch
2020-08-01,Outside of Australia,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,35.0,2,2020,8,August,Scamwatch
2020-01-01,Australian Capital Territory,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,500.0,3,2020,1,January,Scamwatch
2020-04-01,Australian Capital Territory,Email,25 - 34,Male,Attempts to gain your personal information,Phishing,300.0,4,2020,4,April,Scamwatch
2020-01-01,South Australia,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,775.0,6,2020,1,January,Scamwatch
2020-05-01,Australian Capital Territory,Email,25 - 34,Female,Attempts to gain your personal information,Phishing,2640.0,4,2020,5,May,Scamwatch
2020-03-01,Victoria,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,500.0,5,2020,3,March,Scamwatch
2020-03-01,Western Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,1900.0,4,2020,3,March,Scamwatch
2020-07-01,Western Australia,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,580.0,2,2020,7,July,Scamwatch
2020-02-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,570.0,3,2020,2,February,Scamwatch
2020-04-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,850.0,3,2020,4,April,Scamwatch
2020-06-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,480.0,4,2020,6,June,Scamwatch
2020-07-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,950.0,3,2020,7,July,Scamwatch
2020-02-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,70.0,4,2020,2,February,Scamwatch
2020-05-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,1500.0,6,2020,5,May,Scamwatch
2020-03-01,Australian Capital Territory,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,12960.0,2,2020,3,March,Scamwatch
2020-03-01,New South Wales,Online,18 - 24,Male,Attempts to gain your personal information,Phishing,1054.0,2,2020,3,March,Scamwatch
2020-06-01,New South Wales,Online,18 - 24,Female,Attempts to gain your personal information,Phishing,285.0,2,2020,6,June,Scamwatch
2020-08-01,New South Wales,Online,18 - 24,Female,Attempts to gain your personal information,Phishing,80.0,3,2020,8,August,Scamwatch
2020-01-01,New South Wales,Online,45 - 54,Female,Attempts to gain your personal information,Phishing,370.0,2,2020,1,January,Scamwatch
2020-08-01,New South Wales,Online,45 - 54,Female,Attempts to gain your personal information,Phishing,2000.0,2,2020,8,August,Scamwatch
2020-03-01,New South Wales,Online,55 - 64,Female,Attempts to gain your personal information,Phishing,29.0,2,2020,3,March,Scamwatch
2020-06-01,New South Wales,Online,55 - 64,Female,Attempts to gain your personal information,Phishing,3000.0,4,2020,6,June,Scamwatch
2020-08-01,New South Wales,Online,55 - 64,Female,Attempts to gain your personal information,Phishing,4500.0,3,2020,8,August,Scamwatch
2020-08-01,Victoria,Online,18 - 24,Female,Attempts to gain your personal information,Phishing,1500.0,2,2020,8,August,Scamwatch
2020-04-01,Victoria,Online,55 - 64,Female,Attempts to gain your personal information,Phishing,1220.0,2,2020,4,April,Scamwatch
2020-05-01,Victoria,Online,55 - 64,Female,Attempts to gain your personal information,Phishing,160.0,3,2020,5,May,Scamwatch
2020-08-01,Victoria,Online,55 - 64,Female,Attempts to gain your personal information,Phishing,6000.0,2,2020,8,August,Scamwatch
2020-01-01,Victoria,Online,25 - 34,Female,Attempts to gain your personal information,Phishing,1341.0,3,2020,1,January,Scamwatch
2020-03-01,Victoria,Online,25 - 34,Female,Attempts to gain your personal information,Phishing,24.0,4,2020,3,March,Scamwatch
2020-04-01,Victoria,Online,25 - 34,Female,Attempts to gain your personal information,Phishing,400.0,3,2020,4,April,Scamwatch
2020-01-01,Victoria,Online,45 - 54,Female,Attempts to gain your personal information,Phishing,6000.0,2,2020,1,January,Scamwatch
2020-07-01,Victoria,Online,45 - 54,Female,Attempts to gain your personal information,Phishing,376.0,3,2020,7,July,Scamwatch
2020-02-01,Victoria,Online,35 - 44,Female,Attempts to gain your personal information,Phishing,2.0,3,2020,2,February,Scamwatch
2020-07-01,Victoria,Online,35 - 44,Female,Attempts to gain your personal information,Phishing,160.0,2,2020,7,July,Scamwatch
2020-08-01,Victoria,Online,35 - 44,Female,Attempts to gain your personal information,Phishing,60.0,4,2020,8,August,Scamwatch
2020-08-01,Victoria,Online,25 - 34,Male,Attempts to gain your personal information,Phishing,1080.0,4,2020,8,August,Scamwatch
2020-03-01,Victoria,Online,55 - 64,Male,Attempts to gain your personal information,Phishing,5.0,2,2020,3,March,Scamwatch
2020-05-01,Victoria,Online,45 - 54,Male,Attempts to gain your personal information,Phishing,149.0,2,2020,5,May,Scamwatch
2020-06-01,Victoria,Online,18 - 24,Male,Attempts to gain your personal information,Phishing,5700.0,4,2020,6,June,Scamwatch
2020-02-01,Queensland,Online,65 and over,Female,Attempts to gain your personal information,Phishing,5.0,2,2020,2,February,Scamwatch
2020-03-01,Queensland,Online,25 - 34,Female,Attempts to gain your personal information,Phishing,96.0,3,2020,3,March,Scamwatch
2020-05-01,Queensland,Online,55 - 64,Female,Attempts to gain your personal information,Phishing,28.0,3,2020,5,May,Scamwatch
2020-06-01,Queensland,Online,25 - 34,Female,Attempts to gain your personal information,Phishing,133.0,3,2020,6,June,Scamwatch
2020-08-01,Queensland,Online,35 - 44,Female,Attempts to gain your personal information,Phishing,131.0,3,2020,8,August,Scamwatch
2020-04-01,Queensland,Online,18 - 24,Male,Attempts to gain your personal information,Phishing,42.0,3,2020,4,April,Scamwatch
2020-08-01,Queensland,Online,18 - 24,Male,Attempts to gain your personal information,Phishing,110.0,3,2020,8,August,Scamwatch
2020-01-01,Queensland,Online,55 - 64,Male,Attempts to gain your personal information,Phishing,350.0,2,2020,1,January,Scamwatch
2020-02-01,Queensland,Online,55 - 64,Male,Attempts to gain your personal information,Phishing,1100.0,2,2020,2,February,Scamwatch
2020-04-01,Queensland,Online,45 - 54,Male,Attempts to gain your personal information,Phishing,189.0,2,2020,4,April,Scamwatch
2020-05-01,Queensland,Online,45 - 54,Male,Attempts to gain your personal information,Phishing,200.0,2,2020,5,May,Scamwatch
2020-07-01,Queensland,Online,35 - 44,Male,Attempts to gain your personal information,Phishing,480.0,2,2020,7,July,Scamwatch
2020-07-01,Queensland,Online,25 - 34,Male,Attempts to gain your personal information,Phishing,300.0,3,2020,7,July,Scamwatch
2020-07-01,Western Australia,Online,45 - 54,Male,Attempts to gain your personal information,Phishing,160.0,3,2020,7,July,Scamwatch
2020-05-01,Outside of Australia,Online,35 - 44,Female,Attempts to gain your personal information,Phishing,366.0,2,2020,5,May,Scamwatch
2020-06-01,Outside of Australia,Online,25 - 34,Female,Attempts to gain your personal information,Phishing,100.0,2,2020,6,June,Scamwatch
2020-07-01,Outside of Australia,Online,18 - 24,Female,Attempts to gain your personal information,Phishing,495.0,4,2020,7,July,Scamwatch
2020-04-01,Outside of Australia,Online,35 - 44,Male,Attempts to gain your personal information,Phishing,60.0,3,2020,4,April,Scamwatch
2020-04-01,Outside of Australia,Online,18 - 24,Male,Attempts to gain your personal information,Phishing,209.0,3,2020,4,April,Scamwatch
2020-06-01,Outside of Australia,Online,18 - 24,Male,Attempts to gain your personal information,Phishing,1331.0,3,2020,6,June,Scamwatch
2020-05-01,Outside of Australia,Online,25 - 34,Male,Attempts to gain your personal information,Phishing,1461.0,4,2020,5,May,Scamwatch
2020-01-01,Outside of Australia,Online,Unspecified,Male,Attempts to gain your personal information,Phishing,500.0,2,2020,1,January,Scamwatch
2020-08-01,Outside of Australia,Online,Unspecified,Male,Attempts to gain your personal information,Phishing,300.0,9,2020,8,August,Scamwatch
2020-02-01,Australian Capital Territory,Online,Under 18,Male,Attempts to gain your personal information,Phishing,600.0,2,2020,2,February,Scamwatch
2020-08-01,Victoria,In person,25 - 34,Male,Attempts to gain your personal information,Identity theft,5000.0,2,2020,8,August,Scamwatch
2020-08-01,New South Wales,In person,35 - 44,Male,Attempts to gain your personal information,Identity theft,1700.0,3,2020,8,August,Scamwatch
2020-03-01,New South Wales,In person,55 - 64,Female,Attempts to gain your personal information,Identity theft,500.0,3,2020,3,March,Scamwatch
2020-07-01,Victoria,Mail,25 - 34,Male,Attempts to gain your personal information,Identity theft,3960.0,3,2020,7,July,Scamwatch
2020-05-01,Victoria,Mail,25 - 34,Female,Attempts to gain your personal information,Identity theft,189.0,2,2020,5,May,Scamwatch
2020-04-01,New South Wales,Mail,45 - 54,Male,Attempts to gain your personal information,Identity theft,13350.0,3,2020,4,April,Scamwatch
2020-05-01,New South Wales,Mail,25 - 34,Male,Attempts to gain your personal information,Identity theft,6000.0,2,2020,5,May,Scamwatch
2020-07-01,Australian Capital Territory,Online,18 - 24,Male,Attempts to gain your personal information,Identity theft,500.0,2,2020,7,July,Scamwatch
2020-05-01,Outside of Australia,Online,25 - 34,Female,Attempts to gain your personal information,Identity theft,6.0,2,2020,5,May,Scamwatch
2020-05-01,Outside of Australia,Online,45 - 54,Male,Attempts to gain your personal information,Identity theft,160.0,3,2020,5,May,Scamwatch
2020-04-01,South Australia,Online,45 - 54,Male,Attempts to gain your personal information,Identity theft,1605.0,2,2020,4,April,Scamwatch
2020-05-01,South Australia,Online,45 - 54,Male,Attempts to gain your personal information,Identity theft,140500.0,3,2020,5,May,Scamwatch
2020-07-01,South Australia,Online,55 - 64,Male,Attempts to gain your personal information,Identity theft,1300.0,2,2020,7,July,Scamwatch
2020-04-01,South Australia,Online,35 - 44,Female,Attempts to gain your personal information,Identity theft,1200.0,2,2020,4,April,Scamwatch
2020-05-01,South Australia,Online,45 - 54,Female,Attempts to gain your personal information,Identity theft,3.0,3,2020,5,May,Scamwatch
2020-05-01,South Australia,Online,25 - 34,Female,Attempts to gain your personal information,Identity theft,209.0,2,2020,5,May,Scamwatch
2020-06-01,South Australia,Online,45 - 54,Female,Attempts to gain your personal information,Identity theft,100.0,3,2020,6,June,Scamwatch
2020-06-01,South Australia,Online,35 - 44,Female,Attempts to gain your personal information,Identity theft,4100.0,2,2020,6,June,Scamwatch
2020-04-01,Western Australia,Online,25 - 34,Female,Attempts to gain your personal information,Identity theft,1250.0,2,2020,4,April,Scamwatch
2020-01-01,Queensland,Online,Unspecified,Male,Attempts to gain your personal information,Identity theft,260.0,3,2020,1,January,Scamwatch
2020-07-01,Queensland,Online,Unspecified,Male,Attempts to gain your personal information,Identity theft,160.0,2,2020,7,July,Scamwatch
2020-04-01,Queensland,Online,25 - 34,Male,Attempts to gain your personal information,Identity theft,1600.0,2,2020,4,April,Scamwatch
2020-01-01,Queensland,Online,55 - 64,Male,Attempts to gain your personal information,Identity theft,33.0,5,2020,1,January,Scamwatch
2020-02-01,Queensland,Online,35 - 44,Male,Attempts to gain your personal information,Identity theft,9390.0,3,2020,2,February,Scamwatch
2020-04-01,Queensland,Online,35 - 44,Male,Attempts to gain your personal information,Identity theft,270.0,2,2020,4,April,Scamwatch
2020-06-01,Queensland,Online,35 - 44,Male,Attempts to gain your personal information,Identity theft,160.0,2,2020,6,June,Scamwatch
2020-07-01,Queensland,Online,65 and over,Male,Attempts to gain your personal information,Identity theft,1200.0,2,2020,7,July,Scamwatch
2020-01-01,Queensland,Online,25 - 34,Female,Attempts to gain your personal information,Identity theft,1200.0,2,2020,1,January,Scamwatch
2020-05-01,Queensland,Online,25 - 34,Female,Attempts to gain your personal information,Identity theft,35.0,3,2020,5,May,Scamwatch
2020-08-01,Queensland,Online,25 - 34,Female,Attempts to gain your personal information,Identity theft,137.0,4,2020,8,August,Scamwatch
2020-01-01,Queensland,Online,35 - 44,Female,Attempts to gain your personal information,Identity theft,399.0,3,2020,1,January,Scamwatch
2020-08-01,Queensland,Online,35 - 44,Female,Attempts to gain your personal information,Identity theft,889.0,3,2020,8,August,Scamwatch
2020-01-01,Queensland,Online,45 - 54,Female,Attempts to gain your personal information,Identity theft,216.0,2,2020,1,January,Scamwatch
2020-06-01,Queensland,Online,45 - 54,Female,Attempts to gain your personal information,Identity theft,2500.0,5,2020,6,June,Scamwatch
2020-07-01,Victoria,Online,35 - 44,Male,Attempts to gain your personal information,Identity theft,450.0,4,2020,7,July,Scamwatch
2020-04-01,Victoria,Online,45 - 54,Male,Attempts to gain your personal information,Identity theft,870.0,2,2020,4,April,Scamwatch
2020-05-01,Victoria,Online,45 - 54,Male,Attempts to gain your personal information,Identity theft,20000.0,3,2020,5,May,Scamwatch
2020-07-01,Victoria,Online,45 - 54,Male,Attempts to gain your personal information,Identity theft,3500.0,3,2020,7,July,Scamwatch
2020-08-01,Victoria,Online,45 - 54,Male,Attempts to gain your personal information,Identity theft,85000.0,3,2020,8,August,Scamwatch
2020-08-01,Victoria,Online,25 - 34,Male,Attempts to gain your personal information,Identity theft,6160.0,7,2020,8,August,Scamwatch
2020-05-01,Victoria,Online,Unspecified,Male,Attempts to gain your personal information,Identity theft,12.0,2,2020,5,May,Scamwatch
2020-08-01,Victoria,Online,Unspecified,Male,Attempts to gain your personal information,Identity theft,750.0,4,2020,8,August,Scamwatch
2020-05-01,Victoria,Online,65 and over,Male,Attempts to gain your personal information,Identity theft,1000.0,2,2020,5,May,Scamwatch
2020-01-01,Victoria,Online,55 - 64,Male,Attempts to gain your personal information,Identity theft,2150.0,2,2020,1,January,Scamwatch
2020-04-01,Victoria,Online,18 - 24,Female,Attempts to gain your personal information,Identity theft,300.0,4,2020,4,April,Scamwatch
2020-08-01,Victoria,Online,55 - 64,Female,Attempts to gain your personal information,Identity theft,29250.0,5,2020,8,August,Scamwatch
2020-02-01,Victoria,Online,65 and over,Female,Attempts to gain your personal information,Identity theft,4485.0,3,2020,2,February,Scamwatch
2020-01-01,Victoria,Online,35 - 44,Female,Attempts to gain your personal information,Identity theft,11169.0,2,2020,1,January,Scamwatch
2020-04-01,Victoria,Online,Unspecified,Female,Attempts to gain your personal information,Identity theft,19289.0,6,2020,4,April,Scamwatch
2020-07-01,Victoria,Online,Unspecified,Female,Attempts to gain your personal information,Identity theft,387.0,2,2020,7,July,Scamwatch
2020-08-01,New South Wales,Online,65 and over,Male,Attempts to gain your personal information,Identity theft,18.0,7,2020,8,August,Scamwatch
2020-04-01,New South Wales,Online,18 - 24,Male,Attempts to gain your personal information,Identity theft,300.0,3,2020,4,April,Scamwatch
2020-02-01,New South Wales,Online,18 - 24,Female,Attempts to gain your personal information,Identity theft,2357.0,2,2020,2,February,Scamwatch
2020-05-01,New South Wales,Online,18 - 24,Female,Attempts to gain your personal information,Identity theft,478.0,2,2020,5,May,Scamwatch
2020-04-01,New South Wales,Online,55 - 64,Female,Attempts to gain your personal information,Identity theft,2100.0,5,2020,4,April,Scamwatch
2020-01-01,Western Australia,Email,25 - 34,Male,Attempts to gain your personal information,Identity theft,4997.0,3,2020,1,January,Scamwatch
2020-06-01,Western Australia,Email,35 - 44,Male,Attempts to gain your personal information,Identity theft,1599.0,3,2020,6,June,Scamwatch
2020-07-01,Western Australia,Email,45 - 54,Male,Attempts to gain your personal information,Identity theft,6000.0,2,2020,7,July,Scamwatch
2020-07-01,South Australia,Email,25 - 34,Male,Attempts to gain your personal information,Identity theft,600.0,2,2020,7,July,Scamwatch
2020-07-01,South Australia,Email,55 - 64,Male,Attempts to gain your personal information,Identity theft,400.0,3,2020,7,July,Scamwatch
2020-08-01,South Australia,Email,Unspecified,Female,Attempts to gain your personal information,Identity theft,160.0,3,2020,8,August,Scamwatch
2020-04-01,South Australia,Email,45 - 54,Female,Attempts to gain your personal information,Identity theft,1000.0,2,2020,4,April,Scamwatch
2020-05-01,South Australia,Email,35 - 44,Female,Attempts to gain your personal information,Identity theft,25071.0,2,2020,5,May,Scamwatch
2020-04-01,Australian Capital Territory,Email,25 - 34,Male,Attempts to gain your personal information,Identity theft,1000.0,2,2020,4,April,Scamwatch
2020-04-01,Australian Capital Territory,Email,55 - 64,Male,Attempts to gain your personal information,Identity theft,693.0,2,2020,4,April,Scamwatch
2020-01-01,Australian Capital Territory,Email,45 - 54,Female,Attempts to gain your personal information,Identity theft,1358.0,2,2020,1,January,Scamwatch
2020-01-01,Queensland,Email,35 - 44,Male,Attempts to gain your personal information,Identity theft,1000.0,3,2020,1,January,Scamwatch
2020-03-01,Queensland,Email,35 - 44,Male,Attempts to gain your personal information,Identity theft,6800.0,5,2020,3,March,Scamwatch
2020-03-01,Queensland,Email,25 - 34,Female,Attempts to gain your personal information,Identity theft,8000.0,7,2020,3,March,Scamwatch
2020-07-01,Queensland,Email,25 - 34,Female,Attempts to gain your personal information,Identity theft,1035.0,3,2020,7,July,Scamwatch
2020-03-01,Queensland,Email,18 - 24,Female,Attempts to gain your personal information,Identity theft,52.0,2,2020,3,March,Scamwatch
2020-07-01,Victoria,Email,18 - 24,Female,Attempts to gain your personal information,Identity theft,6000.0,2,2020,7,July,Scamwatch
2020-02-01,New South Wales,Email,18 - 24,Female,Attempts to gain your personal information,Identity theft,1000.0,3,2020,2,February,Scamwatch
2020-04-01,New South Wales,Email,18 - 24,Female,Attempts to gain your personal information,Identity theft,500.0,3,2020,4,April,Scamwatch
2020-03-01,Victoria,Text message,18 - 24,Male,Attempts to gain your personal information,Identity theft,300.0,3,2020,3,March,Scamwatch
2020-04-01,Victoria,Text message,18 - 24,Male,Attempts to gain your personal information,Identity theft,700.0,5,2020,4,April,Scamwatch
2020-03-01,Victoria,Text message,18 - 24,Female,Attempts to gain your personal information,Identity theft,68.0,3,2020,3,March,Scamwatch
2020-07-01,Victoria,Text message,18 - 24,Female,Attempts to gain your personal information,Identity theft,8659.0,4,2020,7,July,Scamwatch
2020-02-01,Queensland,Text message,18 - 24,Male,Attempts to gain your personal information,Identity theft,36059.0,5,2020,2,February,Scamwatch
2020-06-01,Queensland,Text message,18 - 24,Male,Attempts to gain your personal information,Identity theft,300.0,3,2020,6,June,Scamwatch
2020-08-01,Queensland,Text message,25 - 34,Male,Attempts to gain your personal information,Identity theft,4600.0,4,2020,8,August,Scamwatch
2020-07-01,Western Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Identity theft,1000.0,6,2020,7,July,Scamwatch
2020-07-01,South Australia,Phone call,18 - 24,Female,Attempts to gain your personal information,Identity theft,17000.0,3,2020,7,July,Scamwatch
2020-08-01,Australian Capital Territory,Phone call,25 - 34,Female,Attempts to gain your personal information,Identity theft,10000.0,9,2020,8,August,Scamwatch
2020-07-01,Tasmania,Phone call,Unspecified,Female,Attempts to gain your personal information,Identity theft,45.0,5,2020,7,July,Scamwatch
2020-08-01,Northern Territory,Phone call,35 - 44,Male,Attempts to gain your personal information,Identity theft,2200.0,2,2020,8,August,Scamwatch
2020-08-01,Victoria,Text message,18 - 24,Female,Attempts to gain your personal information,Hacking,206.0,3,2020,8,August,Scamwatch
2020-04-01,Victoria,Online,18 - 24,Female,Attempts to gain your personal information,Hacking,80.0,2,2020,4,April,Scamwatch
2020-08-01,Victoria,Online,18 - 24,Female,Attempts to gain your personal information,Hacking,140.0,3,2020,8,August,Scamwatch
2020-05-01,Victoria,Online,45 - 54,Female,Attempts to gain your personal information,Hacking,13000.0,3,2020,5,May,Scamwatch
2020-08-01,Victoria,Online,45 - 54,Female,Attempts to gain your personal information,Hacking,300.0,2,2020,8,August,Scamwatch
2020-03-01,Victoria,Online,55 - 64,Female,Attempts to gain your personal information,Hacking,1500.0,3,2020,3,March,Scamwatch
2020-07-01,Victoria,Online,55 - 64,Female,Attempts to gain your personal information,Hacking,18.0,3,2020,7,July,Scamwatch
2020-06-01,Victoria,Online,65 and over,Female,Attempts to gain your personal information,Hacking,429.0,2,2020,6,June,Scamwatch
2020-02-01,Victoria,Online,35 - 44,Female,Attempts to gain your personal information,Hacking,300.0,3,2020,2,February,Scamwatch
2020-04-01,Victoria,Online,35 - 44,Female,Attempts to gain your personal information,Hacking,758.0,4,2020,4,April,Scamwatch
2020-07-01,Victoria,Online,35 - 44,Female,Attempts to gain your personal information,Hacking,1468.0,2,2020,7,July,Scamwatch
2020-06-01,Victoria,Online,55 - 64,Male,Attempts to gain your personal information,Hacking,3000.0,2,2020,6,June,Scamwatch
2020-07-01,Victoria,Online,25 - 34,Male,Attempts to gain your personal information,Hacking,4000.0,2,2020,7,July,Scamwatch
2020-08-01,Victoria,Email,45 - 54,Male,Attempts to gain your personal information,Hacking,1000.0,4,2020,8,August,Scamwatch
2020-04-01,Victoria,Email,35 - 44,Male,Attempts to gain your personal information,Hacking,2000.0,18,2020,4,April,Scamwatch
2020-05-01,Victoria,Email,35 - 44,Male,Attempts to gain your personal information,Hacking,3000.0,6,2020,5,May,Scamwatch
2020-03-01,Victoria,Email,18 - 24,Male,Attempts to gain your personal information,Hacking,3000.0,2,2020,3,March,Scamwatch
2020-04-01,Queensland,Online,25 - 34,Male,Attempts to gain your personal information,Hacking,70.0,2,2020,4,April,Scamwatch
2020-06-01,Queensland,Online,45 - 54,Male,Attempts to gain your personal information,Hacking,99.0,2,2020,6,June,Scamwatch
2020-03-01,Queensland,Email,18 - 24,Male,Attempts to gain your personal information,Hacking,369.0,3,2020,3,March,Scamwatch
2020-01-01,Queensland,Text message,18 - 24,Female,Attempts to gain your personal information,Hacking,6807.0,4,2020,1,January,Scamwatch
2020-05-01,Queensland,Email,35 - 44,Female,Attempts to gain your personal information,Hacking,250.0,2,2020,5,May,Scamwatch
2020-06-01,Queensland,Email,35 - 44,Female,Attempts to gain your personal information,Hacking,728.0,4,2020,6,June,Scamwatch
2020-05-01,Queensland,Email,25 - 34,Female,Attempts to gain your personal information,Hacking,122.0,5,2020,5,May,Scamwatch
2020-03-01,Queensland,Online,18 - 24,Female,Attempts to gain your personal information,Hacking,200.0,2,2020,3,March,Scamwatch
2020-02-01,Queensland,Online,35 - 44,Female,Attempts to gain your personal information,Hacking,2500.0,2,2020,2,February,Scamwatch
2020-05-01,Queensland,Online,35 - 44,Female,Attempts to gain your personal information,Hacking,803.0,2,2020,5,May,Scamwatch
2020-01-01,Queensland,Online,Unspecified,Female,Attempts to gain your personal information,Hacking,10288.0,6,2020,1,January,Scamwatch
2020-03-01,Queensland,Online,Unspecified,Female,Attempts to gain your personal information,Hacking,29.0,3,2020,3,March,Scamwatch
2020-04-01,Queensland,Online,Unspecified,Female,Attempts to gain your personal information,Hacking,300.0,3,2020,4,April,Scamwatch
2020-08-01,Queensland,Online,Unspecified,Female,Attempts to gain your personal information,Hacking,150.0,2,2020,8,August,Scamwatch
2020-03-01,Queensland,Online,25 - 34,Female,Attempts to gain your personal information,Hacking,1600.0,4,2020,3,March,Scamwatch
2020-06-01,Queensland,Online,45 - 54,Female,Attempts to gain your personal information,Hacking,450.0,2,2020,6,June,Scamwatch
2020-08-01,Queensland,Online,45 - 54,Female,Attempts to gain your personal information,Hacking,530.0,4,2020,8,August,Scamwatch
2020-07-01,Queensland,In person,35 - 44,Female,Attempts to gain your personal information,Hacking,3000.0,2,2020,7,July,Scamwatch
2020-04-01,Western Australia,Email,35 - 44,Female,Attempts to gain your personal information,Hacking,150.0,10,2020,4,April,Scamwatch
2020-02-01,Western Australia,Phone call,45 - 54,Female,Attempts to gain your personal information,Hacking,100000.0,2,2020,2,February,Scamwatch
2020-04-01,Western Australia,Online,35 - 44,Male,Attempts to gain your personal information,Hacking,2.0,2,2020,4,April,Scamwatch
2020-07-01,Western Australia,Online,55 - 64,Male,Attempts to gain your personal information,Hacking,277.0,2,2020,7,July,Scamwatch
2020-04-01,Western Australia,Email,Unspecified,Male,Attempts to gain your personal information,Hacking,2000.0,12,2020,4,April,Scamwatch
2020-04-01,Western Australia,Phone call,35 - 44,Male,Attempts to gain your personal information,Hacking,250.0,2,2020,4,April,Scamwatch
2020-03-01,South Australia,Online,25 - 34,Male,Attempts to gain your personal information,Hacking,950.0,2,2020,3,March,Scamwatch
2020-05-01,South Australia,Online,65 and over,Male,Attempts to gain your personal information,Hacking,4950.0,2,2020,5,May,Scamwatch
2020-06-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Hacking,4999.0,2,2020,6,June,Scamwatch
2020-07-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Hacking,7000.0,3,2020,7,July,Scamwatch
2020-03-01,South Australia,Email,Unspecified,Male,Attempts to gain your personal information,Hacking,200.0,2,2020,3,March,Scamwatch
2020-04-01,South Australia,Email,Unspecified,Male,Attempts to gain your personal information,Hacking,200.0,2,2020,4,April,Scamwatch
2020-08-01,South Australia,Online,65 and over,Female,Attempts to gain your personal information,Hacking,430.0,2,2020,8,August,Scamwatch
2020-02-01,South Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Hacking,500.0,2,2020,2,February,Scamwatch
2020-05-01,Outside of Australia,Online,18 - 24,Male,Attempts to gain your personal information,Hacking,1000.0,2,2020,5,May,Scamwatch
2020-06-01,Outside of Australia,Online,Unspecified,Female,Attempts to gain your personal information,Hacking,750.0,3,2020,6,June,Scamwatch
2020-05-01,Outside of Australia,Online,25 - 34,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Hacking,339.0,2,2020,5,May,Scamwatch
2020-05-01,Outside of Australia,Email,55 - 64,Male,Attempts to gain your personal information,Hacking,2500.0,2,2020,5,May,Scamwatch
2020-06-01,New South Wales,Online,55 - 64,Male,Attempts to gain your personal information,Hacking,29.0,2,2020,6,June,Scamwatch
2020-02-01,New South Wales,Online,Unspecified,Male,Attempts to gain your personal information,Hacking,15.0,2,2020,2,February,Scamwatch
2020-03-01,New South Wales,Online,Unspecified,Male,Attempts to gain your personal information,Hacking,319.0,3,2020,3,March,Scamwatch
2020-08-01,New South Wales,Online,25 - 34,Male,Attempts to gain your personal information,Hacking,965.0,5,2020,8,August,Scamwatch
2020-04-01,New South Wales,Email,25 - 34,Male,Attempts to gain your personal information,Hacking,1300.0,11,2020,4,April,Scamwatch
2020-07-01,New South Wales,Email,25 - 34,Male,Attempts to gain your personal information,Hacking,1320.0,4,2020,7,July,Scamwatch
2020-08-01,New South Wales,Email,25 - 34,Male,Attempts to gain your personal information,Hacking,10993.0,2,2020,8,August,Scamwatch
2020-07-01,New South Wales,Online,18 - 24,Female,Attempts to gain your personal information,Hacking,600.0,3,2020,7,July,Scamwatch
2020-04-01,New South Wales,Online,55 - 64,Female,Attempts to gain your personal information,Hacking,9950.0,3,2020,4,April,Scamwatch
2020-08-01,New South Wales,Online,55 - 64,Female,Attempts to gain your personal information,Hacking,4345.0,5,2020,8,August,Scamwatch
2020-04-01,New South Wales,Online,45 - 54,Female,Attempts to gain your personal information,Hacking,700.0,2,2020,4,April,Scamwatch
